application_type,applications,with_conditions,refused
"Prior Approval Residential Additional Storey (Part 1 Class AA)",5,0,5
"Prior Approval for change to D2",5,0,1
"Prior Notification - Larger Home Extension",5,0,1
"Prior approval office to residential",5,0,5
"Prior notification: Demolition",5,0,0
"Public PRE APP",5,0,0
"Reserved Matters DD Submission 3",5,0,0
"Scoping opinion (EIA)",5,0,0
"Advert (Express Consent)",4,0,0
"Approval of Details (Full PP)",4,0,0
"Approval of details (Council's Own)",4,4,0
"Business/Hotel etc. to State School",4,0,0
"Certificate of Lawfulness Existing",4,0,0
"County Matters",4,0,2
"ES Screening Opinion",4,0,0
"Environmental Impact Assessment - Screening",4,0,0
FUL,4,0,0
HOU,4,0,0
"Key Public Service Infrastructure Dev",4,0,0
"LB Brent Consultation - adjacent borough observations",4,1,0
"LDC (Existing) Use edged",4,0,0
"Light Industrial use to Residential",4,0,3
"Notice of Flexible Use",4,0,0
"OPDC Certificate of Lawfulness Proposed",4,0,0
"PA - Retail to Office",4,0,0
"PA-Dwellings detached commercial/mixed",4,0,1
"Prior Approval (A1, A2, SG to D2)",4,2,2
"Prior Approval - Retail and sui generis uses to residential",4,0,3
"Prior Approval Class M/N",4,0,4
"Prior Approval Network Rail",4,0,0
"Prior Approval New Dwellings on Blocks of Flats (Part 20 Class A)",4,0,2
"Prior Approval Storage and Distribution B8 to Residential",4,0,1
"Prior Approval of Demolition",4,0,0
"Prior Approval- Demolition and new flats",4,3,0
"Prior Notification (Agriculture to Res)",4,0,2
"Prior Notification - Demolition",4,0,0
Screening,4,0,0
"Screening Opinion (EIA Regs)",4,0,0
"Screening Opinion - EIA Regs",4,0,0
"Technical Details Consent",4,0,3
"Variation / Removal of a condition all other minor",4,0,0
"Variation of Legal Agreement",4,0,0
"XXX - GPDO - Class D - DO NOT USE",4,0,0
"Additional Environment Approval (Section 93B)",3,0,0
"Approval of Conditions",3,0,0
"Certificate of Lawfulness (Unspecified)",3,1,1
"Certificate of Lawfulness - Listed Bldng",3,0,0
"Certificate of Lawfulness of Proposed Works to a Listed Building",3,0,1
"Change of Use Agric under Part 3",3,0,1
"Dwellings 9 units or less",3,0,0
"EIA Major Full Applications",3,0,0
"Flatted Additional Storey Prior Approval",3,0,1
"Flexible Use Notification",3,0,1
"Follow-up Meeting Pre-Application Query",3,0,0
"GPD P3T - B1 C1 C2 C2A D2 to School",3,0,1
"LB Ealing Consultation",3,2,0
"Lawful Development Certificate Proposed",3,0,1
"Listed Building Consent (Demolition)",3,0,1
"Major Housing 10 units or more",3,0,0
"New dwellinghse on detached block flats",3,0,1
"Non Material Amendments 5",3,0,0
"OPDC Non-Material Amendment",3,1,0
"P Approval New Dwellinghouses on Detached Buildings in Commercial or Mixed Use",3,0,0
"PA - Other GPDO",3,0,0
"PA - Retail/Betting/P.day Loan/Casino to Rest/Cafe",3,0,0
"PA Agricultural to Flex Use (B8,C1,E)",3,0,1
"PA Retail to Leisure",3,0,0
"PA-Dwellings terraced commercial/mixed",3,0,3
"Prior Approval ( 4 weeks Notice)",3,0,0
"Prior Approval (6 weeks Notice)",3,0,0
"Prior Approval - Enlargement of a dwellinghouse by construction of additional storeys",3,1,1
"Prior Notification (General)",3,0,2
"Prior Notification for Miscellaneous development (Part 18)",3,0,0
"Reserved Matters following Outline",3,0,0
"Retail/ Bet/Loanshop to Restaurant/Caf",3,0,0
"Scoping Opinions",3,0,0
"Storage / Distribution to Residential",3,0,1
"Takeaways Betting shops etc to dwellings",3,2,0
"Tel Notification",3,0,0
"Telecoms Apparatus Determination_old",3,0,2
"Telecoms Application PD",3,0,0
"Temp Permitted Change of Use Shop/Office",3,0,0
"Temporary Change of Use Notification",3,3,0
"Tree(s) in a Conservation Area",3,0,0
"X Environmental Impact Assessment",3,0,0
"XXX - GPDO - Class C - DO NOT USE",3,0,3
"XXX - GPDO - Class M - DO NOT USE",3,0,3
APC,2,0,0
"Additional Pre-App Meeting",2,0,0
"C. of Lawfulness Proposed - Listed Bldg",2,0,0
"Certificate of Lawfulness (existing)",2,0,0
"Class G Prior Approval",2,0,0
"Consent to display an advertisement",2,0,0
"Council Regulation 4",2,0,0
"Council's Own Application (Reg 4)",2,1,0
"Details Following Outline (Reserved Matters)",2,0,0
"EIA (Screening Opinion)",2,0,0
"Enforcement No Application",2,0,0
"Environmental Impact Assessment - Scoping",2,0,0
"GPD P20AB D'houses on terrace commercial",2,0,0
"GPD P3J - A1 A2 Bet Loan to D2",2,0,1
"GPDO - Class M",2,0,0
"GPDO - Class O",2,,
"GPDO - prior approval Rail",2,0,0
"Listed Building Consent to (alter/extend)",2,0,0
"Listed building consent (Alt/Ext)",2,0,0
"Major Application (EIA)",2,1,0
"Minor Commercial",2,2,0
"Modification of conditions relating to construction working hours under s74B",2,2,0
"NOT (Notification)",2,0,0
"New dwellings on detached block of flats",2,0,0
"Non Validation Appeal",2,,
"Notification of Demolition",2,0,0
"Outline Planning Permission (Some Matters Reserved)",2,0,0
"Outline planning permission: Some matters reserved",2,0,0
P4D,2,0,0
"PA - Change of use to State-Funded School from B1, C1, C2, C2A and D2 - Class K, Part 3, Sched. 2",2,0,1
"PA - Flexible Use 2 years",2,0,0
"PA - Retail to Assembly and Leisure Uses (Class D2)",2,0,1
"PA - Solar",2,0,0
"PA New State School or Nursery",2,0,2
"PA: Commercial/Business/Service etc. to mixed use up to including 2 flats",2,0,1
"PA: Development for electronic communications network",2,0,1
"PACOU From Class E to C3",2,0,1
"PD Notification",2,0,0
"Power related development",2,0,0
"Prior Approval - Changes of Use Permitted Under a Permission",2,0,0
"Prior Approval - Installation, Alteration or Replacement of other Solar Photovoltaics (PV) equipment on the Roofs of Non-domestic Buildings, up to a Capacity of 1 Megawatt, subject to certain limitations*",2,0,1
"Prior Approval - New dwellinghouses on detached buildings in commercial or mixed use",2,0,1
"Prior Approval Demolition of bldg and construction of new dwellings (Part 20 Class ZA)",2,0,0
"Prior Approval GPDO 2 Part 20 Class AB",2,0,2
"Prior Approval New Dwellings on Terrace Bldg in Comm or Mixed Use (Part 20 Class AB)",2,0,2
"Prior Approval Telecomms",2,0,0
"Prior Approval: Change of use - business/hotels/etc to school/nursery",2,0,2
"Prior Approval: Change of use - light industrial to dwellinghouses",2,0,2
"Prior Notification (Class ZA Dem Dwe)",2,0,1
"Prior Notification of COU to Flexi Use",2,0,0
"Reserved Matters DD Submission",2,0,0
"Reserved Matters DD Submission 4",2,0,0
"Retail/ Bet Office/Loanshop to Assembly",2,0,0
"S106A Application",2,0,0
"S93B - Extension of Planning Permission",2,0,1
"SNN Verification Order",2,0,0
"State-funded School/Nursery",2,0,0
"Submission of Reserved Matters",2,0,0
"Tree Preservation Order",2,0,0
"Tree Works in Conservation Area (S211)",2,0,0
"Variation / Removal of condition All other major development",2,0,0
"X Outline Planning Permission",2,0,2
"change of use from offices to dwelling",2,1,0
"All other minor developments",1,0,0
"Applic. for tables and chairs",1,0,0
"Application prior approval - general",1,0,0
"Business/Hotels to Schools/Nursery",1,0,0
CON,1,0,0
"COU - Agric Bld to Flex Com Space",1,0,0
